loan_id,schedule_version,id,loan_schedule_id,Period,Date,payment,principal,interest,principal_balance,total_outstanding,created_at
1,1,1,1,0,01-Jan-2025,0,0,0,1052.6315789474,1052.6315789474,2026-03-29T17:31:43.703691+02:00
1,1,2,1,1,29-Jan-2025,98.2456140351,0,98.2456140351,1052.6315789474,1052.6315789474,2026-03-29T17:31:43.703691+02:00
1,1,3,1,2,28-Feb-2025,241.7499978979,136.4868400032,105.2631578947,916.1447389442,916.1447389442,2026-03-29T17:31:43.703691+02:00
1,1,4,1,3,29-Mar-2025,241.7499978979,153.1893398,88.5606580979,762.9553991442,762.9553991442,2026-03-29T17:31:43.703691+02:00
1,1,5,1,4,29-Apr-2025,241.7499978979,162.9112733197,78.8387245782,600.0441258246,600.0441258246,2026-03-29T17:31:43.703691+02:00
1,1,6,1,5,29-May-2025,241.7499978979,181.7455853154,60.0044125825,418.2985405091,418.2985405091,2026-03-29T17:31:43.703691+02:00
1,1,7,1,6,29-Jun-2025,241.7499978979,198.5258153786,43.2241825193,219.7727251305,219.7727251305,2026-03-29T17:31:43.703691+02:00
1,1,8,1,7,29-Jul-2025,241.7499976435,219.7727251305,21.977272513,0,0,2026-03-29T17:31:43.703691+02:00
